ID,Time,Position(x),Position(y),Position(z),
2,0.8,0.1679956,0,1.679503,
3,0.8,-0.4004364,0,5.632899,
4,0.8,-0.8886241,0,3.534709,
5,0.8,-9.662014,0,5.304656,
6,0.8,-10.07668,0,3.229989,
7,0.8,-10.18011,0,1.006553,
1,0.82,-0.35,0,0.175,
2,0.82,0.1575546,0,1.682395,
3,0.82,-0.4123139,0,5.634356,
4,0.82,-0.9019423,0,3.534724,
5,0.82,-9.647121,0,5.306216,
6,0.82,-10.06363,0,3.229707,
7,0.82,-10.16806,0,1.005275,
1,0.84,-0.35,0,0.175,
2,0.84,0.1537836,0,1.685291,
3,0.84,-0.4175259,0,5.63581,
4,0.84,-0.908588,0,3.534745,
5,0.84,-9.638896,0,5.307774,
6,0.84,-10.05724,0,3.22943,
7,0.84,-10.16267,0,1.003997,
1,0.86,-0.35,0,0.175,
2,0.86,0.1485646,0,1.686739,
3,0.86,-0.4234696,0,5.636533,
4,0.86,-0.9152411,0,3.534759,
5,0.86,-9.631456,0,5.308547,
6,0.86,-10.05071,0,3.229294,
7,0.86,-10.15664,0,1.003361,
1,0.88,-0.4,0,0.2,
2,0.88,0.1433487,0,1.688189,
3,0.88,-0.4294146,0,5.637255,
4,0.88,-0.9218927,0,3.534774,
5,0.88,-9.624019,0,5.309319,
6,0.88,-10.04418,0,3.229158,
7,0.88,-10.15061,0,1.002725,
1,0.9,-0.4,0,0.2,
2,0.9,0.132934,0,1.691108,
3,0.9,-0.4413068,0,5.638696,
4,0.9,-0.935185,0,3.534815,
5,0.9,-9.609145,0,5.310858,
6,0.9,-10.03111,0,3.228889,
7,0.9,-10.13854,0,1.001455,
1,0.92,-0.4,0,0.2,
2,0.92,0.12919,0,1.694031,
3,0.92,-0.4465334,0,5.640136,
4,0.92,-0.9418048,0,3.534862,
5,0.92,-9.600941,0,5.312396,
6,0.92,-10.02471,0,3.228625,
7,0.92,-10.13315,0,1.000186,
1,0.94,-0.4,0,0.2,
2,0.94,0.1187812,0,1.696955,
3,0.94,-0.4584351,0,5.641568,
4,0.94,-0.9550855,0,3.534914,
5,0.94,-9.586082,0,5.313921,
6,0.94,-10.01164,0,3.228364,
7,0.94,-10.12108,0,0.9989212,
1,0.96,-0.4,0,0.2,
2,0.96,0.1150428,0,1.699883,
3,0.96,-0.4636713,0,5.642998,
4,0.96,-0.9616938,0,3.534972,
5,0.96,-9.577891,0,5.315445,
6,0.96,-10.00523,0,3.228107,
7,0.96,-10.11567,0,0.9976576,
1,0.98,-0.45,0,0.225,
2,0.98,0.1098405,0,1.701348,
3,0.98,-0.4696268,0,5.643709,
4,0.98,-0.9683287,0,3.535004,
5,0.98,-9.570468,0,5.316202,
6,0.98,-9.998686,0,3.227981,
7,0.98,-10.10964,0,0.9970281,
1,1,-0.45,0,0.225,
2,1,0.09944546,0,1.704286,
3,1,-0.4815401,0,5.645129,
4,1,-0.981587,0,3.535079,
5,1,-9.555625,0,5.317711,
6,1,-9.985603,0,3.22773,
7,1,-10.09756,0,0.9957703,
1,1.02,-0.45,0,0.225,
2,1.02,0.09572154,0,1.707229,
3,1.02,-0.4867877,0,5.646548,
4,1.02,-0.9881729,0,3.53516,
5,1.02,-9.547451,0,5.319219,
6,1.02,-9.979183,0,3.227483,
7,1.02,-10.09215,0,0.9945136,
1,1.04,-0.45,0,0.225,
2,1.04,0.09052806,0,1.708702,
3,1.04,-0.4927488,0,5.647254,
4,1.04,-0.9947968,0,3.535203,
5,1.04,-9.540036,0,5.319967,
6,1.04,-9.972638,0,3.227361,
7,1.04,-10.08611,0,0.9938874,
1,1.06,-0.45,0,0.225,
2,1.06,0.08014932,0,1.711656,
3,1.06,-0.5046732,0,5.648663,
4,1.06,-1.008042,0,3.535291,
5,1.06,-9.52521,0,5.321461,
6,1.06,-9.959548,0,3.227118,
7,1.06,-10.07403,0,0.9926366,
1,1.08,-0.5000001,0,0.25,
2,1.08,0.07644122,0,1.714615,
3,1.08,-0.509932,0,5.65007,
4,1.08,-1.014615,0,3.535385,
5,1.08,-9.517052,0,5.322952,
6,1.08,-9.953119,0,3.226881,
7,1.08,-10.06861,0,0.9913868,
1,1.1,-0.5000001,0,0.25,
2,1.1,0.06606234,0,1.717569,
3,1.1,-0.5218651,0,5.65147,
4,1.1,-1.02784,0,3.535492,
5,1.1,-9.502237,0,5.324432,
6,1.1,-9.940022,0,3.226646,
7,1.1,-10.05652,0,0.9901414,
1,1.12,-0.5000001,0,0.25,
2,1.12,0.06235494,0,1.720529,
3,1.12,-0.5271326,0,5.652869,
4,1.12,-1.034394,0,3.535606,
5,1.12,-9.494092,0,5.325912,
6,1.12,-9.933585,0,3.226415,
7,1.12,-10.0511,0,0.9888971,
1,1.14,-0.5000001,0,0.25,
2,1.14,0.05198631,0,1.723493,
3,1.14,-0.5390742,0,5.654261,
4,1.14,-1.04761,0,3.535723,
5,1.14,-9.479291,0,5.327379,
6,1.14,-9.92048,0,3.226187,
7,1.14,-10.03901,0,0.9876572,
1,1.16,-0.5500001,0,0.275,
2,1.16,0.04828886,0,1.726463,
3,1.16,-0.5443502,0,5.655652,
4,1.16,-1.054153,0,3.535846,
5,1.16,-9.471158,0,5.328846,
6,1.16,-9.914037,0,3.225963,
7,1.16,-10.03358,0,0.9864184,
1,1.18,-0.5500001,0,0.275,
2,1.18,0.03791224,0,1.729419,
3,1.18,-0.5563001,0,5.657035,
4,1.18,-1.06735,0,3.535982,
5,1.18,-9.456368,0,5.330302,
6,1.18,-9.900926,0,3.225742,
7,1.18,-10.02148,0,0.985184,
1,1.2,-0.5500001,0,0.275,
2,1.2,0.03420765,0,1.732381,
3,1.2,-0.5615843,0,5.658418,
4,1.2,-1.073875,0,3.536124,
5,1.2,-9.448247,0,5.331757,
6,1.2,-9.894476,0,3.225525,
7,1.2,-10.01605,0,0.9839506,
1,1.22,-0.5500001,0,0.275,
2,1.22,0.02902604,0,1.733866,
3,1.22,-0.5675633,0,5.659105,
4,1.22,-1.080469,0,3.536197,
5,1.22,-9.440858,0,5.332479,
6,1.22,-9.887917,0,3.225417,
7,1.22,-10.01,0,0.9833361,
1,1.24,-0.6000001,0,0.3,
2,1.24,0.02384947,0,1.735357,
3,1.24,-0.5735433,0,5.659792,
4,1.24,-1.087061,0,3.536271,
5,1.24,-9.433471,0,5.333199,
6,1.24,-9.881356,0,3.22531,
7,1.24,-10.00394,0,0.9827223,
1,1.26,-0.6000001,0,0.3,
2,1.26,0.01347687,0,1.738317,
3,1.26,-0.5855052,0,5.661163,
4,1.26,-1.100235,0,3.536431,
5,1.26,-9.4187,0,5.334637,
6,1.26,-9.868236,0,3.225099,
7,1.26,-9.991836,0,0.981496,
1,1.28,-0.6000001,0,0.3,
2,1.28,0.00977693,0,1.741284,
3,1.28,-0.5908014,0,5.662534,
4,1.28,-1.106736,0,3.536597,
5,1.28,-9.410597,0,5.336074,
6,1.28,-9.861776,0,3.224891,
7,1.28,-9.986394,0,0.9802708,
1,1.3,-0.6000001,0,0.3,
2,1.3,-0.0005786577,0,1.744262,
3,1.3,-0.6027711,0,5.663898,
4,1.3,-1.1199,0,3.536765,
5,1.3,-9.395838,0,5.337501,
6,1.3,-9.848648,0,3.224686,
7,1.3,-9.974282,0,0.97905,
1,1.32,-0.6500001,0,0.325,
2,1.32,-0.004261909,0,1.747245,
3,1.32,-0.608075,0,5.66526,
4,1.32,-1.126393,0,3.53694,
5,1.32,-9.387746,0,5.338926,
6,1.32,-9.842183,0,3.224484,
7,1.32,-9.968835,0,0.9778303,
1,1.34,-0.6500001,0,0.325,
2,1.34,-0.01464284,0,1.750198,
3,1.34,-0.6200523,0,5.666616,
4,1.34,-1.139539,0,3.537127,
5,1.34,-9.372998,0,5.340341,
6,1.34,-9.829049,0,3.224285,
7,1.34,-9.956717,0,0.9766148,
1,1.36,-0.6500001,0,0.325,
2,1.36,-0.01835055,0,1.753157,
3,1.36,-0.6253638,0,5.667972,
4,1.36,-1.146012,0,3.53732,
5,1.36,-9.364918,0,5.341755,
6,1.36,-9.822577,0,3.224089,
7,1.36,-9.951265,0,0.9754005,
1,1.38,-0.6500001,0,0.325,
2,1.38,-0.02871106,0,1.75613,
3,1.38,-0.6373485,0,5.66932,
4,1.38,-1.15915,0,3.537516,
5,1.38,-9.35018,0,5.343159,
6,1.38,-9.809438,0,3.223896,
7,1.38,-9.939142,0,0.9741904,
1,1.4,-0.7000001,0,0.3500001,
2,1.4,-0.03239867,0,1.759109,
3,1.4,-0.6426674,0,5.670668,
4,1.4,-1.165616,0,3.537717,
5,1.4,-9.342111,0,5.344561,
6,1.4,-9.80296,0,3.223706,
7,1.4,-9.933684,0,0.9729815,
1,1.42,-0.7000001,0,0.3500001,
2,1.42,-0.04279223,0,1.762048,
3,1.42,-0.6546592,0,5.67201,
4,1.42,-1.178735,0,3.537931,
5,1.42,-9.327384,0,5.345954,
6,1.42,-9.789815,0,3.223518,
7,1.42,-9.921556,0,0.9717768,
1,1.44,-0.7000001,0,0.3500001,
2,1.44,-0.04651199,0,1.764995,
3,1.44,-0.6599852,0,5.673351,
4,1.44,-1.185181,0,3.538151,
5,1.44,-9.319325,0,5.347346,
6,1.44,-9.783332,0,3.223334,
7,1.44,-9.916092,0,0.9705732,
1,1.46,-0.7000001,0,0.3500001,
2,1.46,-0.05688163,0,1.767959,
3,1.46,-0.6719843,0,5.674685,
4,1.46,-1.198293,0,3.538373,
5,1.46,-9.30461,0,5.348728,
6,1.46,-9.770181,0,3.223151,
7,1.46,-9.903957,0,0.9693739,
1,1.48,-0.7500001,0,0.3750001,
2,1.48,-0.0605778,0,1.770929,
3,1.48,-0.6773174,0,5.676019,
4,1.48,-1.204733,0,3.5386,
5,1.48,-9.296563,0,5.350109,
6,1.48,-9.763693,0,3.222973,
7,1.48,-9.898489,0,0.9681757,
1,1.5,-0.7500001,0,0.3750001,
2,1.5,-0.07098807,0,1.773852,
3,1.5,-0.6893232,0,5.677346,
4,1.5,-1.217826,0,3.53884,
