ID,Time,Position (x,y,z)
1,1.997454,(-5.5, 0.0, 6.7)
0,2.018996,(4.4, 0.0, 6.7)
1,2.018996,(-5.5, 0.0, 6.7)
0,2.03977,(4.4, 0.0, 6.7)
1,2.03977,(-5.5, 0.0, 6.7)
0,2.060217,(4.3, 0.0, 6.7)
1,2.060217,(-5.5, 0.0, 6.7)
0,2.081284,(4.3, 0.0, 6.7)
1,2.081284,(-5.4, 0.0, 6.7)
0,2.102803,(4.3, 0.0, 6.7)
1,2.102803,(-5.4, 0.0, 6.7)
0,2.123621,(4.3, 0.0, 6.7)
1,2.123621,(-5.4, 0.0, 6.7)
0,2.145957,(4.3, 0.0, 6.7)
1,2.145957,(-5.4, 0.0, 6.7)
0,2.167227,(4.3, 0.0, 6.7)
1,2.167227,(-5.4, 0.0, 6.7)
0,2.190587,(4.3, 0.0, 6.7)
1,2.190587,(-5.4, 0.0, 6.7)
0,2.212337,(4.3, 0.0, 6.7)
1,2.212337,(-5.4, 0.0, 6.7)
0,2.234399,(4.3, 0.0, 6.7)
1,2.234399,(-5.4, 0.0, 6.7)
0,2.255892,(4.3, 0.0, 6.7)
1,2.255892,(-5.4, 0.0, 6.7)
0,2.277018,(4.2, 0.0, 6.7)
1,2.277018,(-5.4, 0.0, 6.7)
0,2.298933,(4.2, 0.0, 6.7)
1,2.298933,(-5.3, 0.0, 6.7)
0,2.3195,(4.2, 0.0, 6.7)
1,2.3195,(-5.3, 0.0, 6.7)
0,2.341282,(4.2, 0.0, 6.7)
1,2.341282,(-5.3, 0.0, 6.7)
0,2.363765,(4.2, 0.0, 6.7)
1,2.363765,(-5.3, 0.0, 6.7)
0,2.385299,(4.2, 0.0, 6.7)
1,2.385299,(-5.3, 0.0, 6.7)
0,2.407195,(4.2, 0.0, 6.7)
1,2.407195,(-5.3, 0.0, 6.7)
0,2.428571,(4.2, 0.0, 6.7)
1,2.428571,(-5.3, 0.0, 6.7)
0,2.452523,(4.2, 0.0, 6.7)
1,2.452523,(-5.3, 0.0, 6.7)
0,2.474501,(4.2, 0.0, 6.7)
1,2.474501,(-5.3, 0.0, 6.7)
0,2.495913,(4.1, 0.0, 6.7)
1,2.495913,(-5.3, 0.0, 6.7)
0,2.519168,(4.1, 0.0, 6.7)
1,2.519168,(-5.2, 0.0, 6.7)
0,2.544671,(4.1, 0.0, 6.7)
1,2.544671,(-5.2, 0.0, 6.7)
0,2.569239,(4.1, 0.0, 6.7)
1,2.569239,(-5.2, 0.0, 6.7)
0,2.592637,(4.1, 0.0, 6.7)
1,2.592637,(-5.2, 0.0, 6.7)
0,2.614965,(4.1, 0.0, 6.7)
1,2.614965,(-5.2, 0.0, 6.7)
0,2.637522,(4.1, 0.0, 6.7)
1,2.637522,(-5.2, 0.0, 6.7)
0,2.660099,(4.1, 0.0, 6.7)
1,2.660099,(-5.2, 0.0, 6.7)
0,2.682929,(4.1, 0.0, 6.7)
1,2.682929,(-5.2, 0.0, 6.7)
0,2.705992,(4.1, 0.0, 6.7)
1,2.705992,(-5.2, 0.0, 6.7)
0,2.728629,(4.0, 0.0, 6.7)
1,2.728629,(-5.2, 0.0, 6.7)
0,2.751719,(4.0, 0.0, 6.7)
1,2.751719,(-5.1, 0.0, 6.7)
0,2.789317,(4.0, 0.0, 6.7)
1,2.789317,(-5.1, 0.0, 6.7)
0,2.817086,(4.0, 0.0, 6.7)
1,2.817086,(-5.1, 0.0, 6.7)
0,2.835917,(4.0, 0.0, 6.7)
1,2.835917,(-5.1, 0.0, 6.7)
0,2.854174,(4.0, 0.0, 6.7)
1,2.854174,(-5.1, 0.0, 6.7)
0,2.870741,(4.0, 0.0, 6.7)
1,2.870741,(-5.1, 0.0, 6.7)
0,2.887751,(4.0, 0.0, 6.7)
1,2.887751,(-5.1, 0.0, 6.7)
0,2.904655,(4.0, 0.0, 6.7)
1,2.904655,(-5.1, 0.0, 6.7)
0,2.921397,(4.0, 0.0, 6.7)
1,2.921397,(-5.1, 0.0, 6.7)
0,2.937789,(4.0, 0.0, 6.7)
1,2.937789,(-5.1, 0.0, 6.7)
0,2.954355,(3.9, 0.0, 6.7)
1,2.954355,(-5.0, 0.0, 6.7)
0,2.971651,(3.9, 0.0, 6.7)
1,2.971651,(-5.0, 0.0, 6.7)
0,2.989223,(3.9, 0.0, 6.7)
1,2.989223,(-5.0, 0.0, 6.7)
0,3.00579,(3.9, 0.0, 6.7)
1,3.00579,(-5.0, 0.0, 6.7)
0,3.022588,(3.9, 0.0, 6.7)
1,3.022588,(-5.0, 0.0, 6.7)
0,3.039118,(3.9, 0.0, 6.7)
1,3.039118,(-5.0, 0.0, 6.7)
0,3.055645,(3.9, 0.0, 6.7)
1,3.055645,(-5.0, 0.0, 6.7)
0,3.072241,(3.9, 0.0, 6.7)
1,3.072241,(-5.0, 0.0, 6.7)
0,3.088624,(3.9, 0.0, 6.7)
1,3.088624,(-5.0, 0.0, 6.7)
0,3.106371,(3.8, 0.0, 6.7)
1,3.106371,(-5.0, 0.0, 6.7)
0,3.12492,(3.8, 0.0, 6.7)
1,3.12492,(-4.9, 0.0, 6.7)
0,3.142051,(3.8, 0.0, 6.7)
1,3.142051,(-4.9, 0.0, 6.7)
0,3.158618,(3.8, 0.0, 6.7)
1,3.158618,(-4.9, 0.0, 6.7)
0,3.175184,(3.8, 0.0, 6.7)
1,3.175184,(-4.9, 0.0, 6.7)
0,3.191753,(3.8, 0.0, 6.7)
1,3.191753,(-4.9, 0.0, 6.7)
0,3.208318,(3.8, 0.0, 6.7)
1,3.208318,(-4.9, 0.0, 6.7)
0,3.224885,(3.8, 0.0, 6.7)
1,3.224885,(-4.9, 0.0, 6.7)
0,3.241699,(3.8, 0.0, 6.7)
1,3.241699,(-4.9, 0.0, 6.7)
0,3.265222,(3.8, 0.0, 6.7)
1,3.265222,(-4.9, 0.0, 6.7)
0,3.281806,(3.7, 0.0, 6.7)
1,3.281806,(-4.9, 0.0, 6.7)
0,3.298357,(3.7, 0.0, 6.7)
1,3.298357,(-4.9, 0.0, 6.7)
0,3.315306,(3.7, 0.0, 6.7)
1,3.315306,(-4.8, 0.0, 6.7)
0,3.331497,(3.7, 0.0, 6.7)
1,3.331497,(-4.8, 0.0, 6.7)
0,3.348528,(3.7, 0.0, 6.7)
1,3.348528,(-4.8, 0.0, 6.7)
0,3.364624,(3.7, 0.0, 6.7)
1,3.364624,(-4.8, 0.0, 6.7)
0,3.38138,(3.7, 0.0, 6.7)
1,3.38138,(-4.8, 0.0, 6.7)
0,3.397758,(3.7, 0.0, 6.7)
1,3.397758,(-4.8, 0.0, 6.7)
0,3.414325,(3.7, 0.0, 6.7)
1,3.414325,(-4.8, 0.0, 6.7)
0,3.434842,(3.7, 0.0, 6.7)
1,3.434842,(-4.8, 0.0, 6.7)
0,3.451411,(3.6, 0.0, 6.7)
1,3.451411,(-4.8, 0.0, 6.7)
0,3.467978,(3.6, 0.0, 6.7)
1,3.467978,(-4.7, 0.0, 6.7)
0,3.484544,(3.6, 0.0, 6.7)
1,3.484544,(-4.7, 0.0, 6.7)
0,3.501113,(3.6, 0.0, 6.7)
1,3.501113,(-4.7, 0.0, 6.7)
0,3.517678,(3.6, 0.0, 6.7)
1,3.517678,(-4.7, 0.0, 6.7)
0,3.534533,(3.6, 0.0, 6.7)
1,3.534533,(-4.7, 0.0, 6.7)
0,3.554488,(3.6, 0.0, 6.7)
1,3.554488,(-4.7, 0.0, 6.7)
0,3.57106,(3.6, 0.0, 6.7)
1,3.57106,(-4.7, 0.0, 6.7)
0,3.587623,(3.6, 0.0, 6.7)
1,3.587623,(-4.7, 0.0, 6.7)
0,3.604191,(3.6, 0.0, 6.7)
1,3.604191,(-4.7, 0.0, 6.7)
0,3.621084,(3.5, 0.0, 6.7)
1,3.621084,(-4.7, 0.0, 6.7)
0,3.637323,(3.5, 0.0, 6.7)
1,3.637323,(-4.7, 0.0, 6.7)
0,3.65389,(3.5, 0.0, 6.7)
1,3.65389,(-4.6, 0.0, 6.7)
0,3.670457,(3.5, 0.0, 6.7)
1,3.670457,(-4.6, 0.0, 6.7)
0,3.687281,(3.5, 0.0, 6.7)
1,3.687281,(-4.6, 0.0, 6.7)
0,3.703726,(3.5, 0.0, 6.7)
1,3.703726,(-4.6, 0.0, 6.7)
0,3.720294,(3.5, 0.0, 6.7)
1,3.720294,(-4.6, 0.0, 6.7)
0,3.737107,(3.5, 0.0, 6.7)
1,3.737107,(-4.6, 0.0, 6.7)
0,3.75343,(3.5, 0.0, 6.7)
1,3.75343,(-4.6, 0.0, 6.7)
0,3.769994,(3.5, 0.0, 6.7)
1,3.769994,(-4.6, 0.0, 6.7)
0,3.836157,(3.4, 0.0, 6.7)
1,3.836157,(-4.6, 0.0, 6.7)
0,3.869171,(3.4, 0.0, 6.7)
1,3.869171,(-4.5, 0.0, 6.7)
0,3.889769,(3.4, 0.0, 6.7)
1,3.889769,(-4.5, 0.0, 6.7)
0,3.906755,(3.4, 0.0, 6.7)
1,3.906755,(-4.5, 0.0, 6.7)
0,3.926248,(3.4, 0.0, 6.7)
1,3.926248,(-4.5, 0.0, 6.7)
0,3.94282,(3.4, 0.0, 6.7)
1,3.94282,(-4.5, 0.0, 6.7)
0,3.959386,(3.4, 0.0, 6.7)
1,3.959386,(-4.5, 0.0, 6.7)
0,3.975952,(3.4, 0.0, 6.7)
1,3.975952,(-4.5, 0.0, 6.7)
0,3.992516,(3.4, 0.0, 6.7)
1,3.992516,(-4.5, 0.0, 6.7)
0,4.009604,(3.4, 0.0, 6.7)
1,4.009604,(-4.5, 0.0, 6.7)
0,4.026349,(3.3, 0.0, 6.7)
1,4.026349,(-4.5, 0.0, 6.7)
0,4.042738,(3.3, 0.0, 6.7)
